id,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
1,cream cheese,51,5,2.9,1.3,0.2,0.8,0.5,0.9,0,14.6,16,7.6,0.2,33,64,92,97,84,52,96,4,0,0,0.1,8,14.1,82,27,1.3,91,15.5,19.1,39,7.07
2,neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7,7.8,0,62.9,0.3,53.6,0.2,99,79,90,0.1,0.2,0.5,78,0,0,0.3,45,99.5,34,0.1,8.5,88,117.3,129.2,54,0.7,130.1
3,requeijao cremoso light catupiry,49,3.6,2.3,0.9,0,0.9,3.4,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
4,ricotta cheese,30,2,1.3,0.5,2,1.5,91,1.5,0,9.8,17,14.7,75,19,79,91,27,41,16,7,6,0,1,11,97,41.2,97,96,4,24,30.8,43.8,35,5196
5,cream cheese low fat,30,2.3,1.4,0.6,42,1.2,0.9,1.2,0,8.1,46,10,16,80,62,49,26,80,0.1,3,0,36,9,19,22.2,72,8,1.2,98,22.8,37.1,34,53,27007
6,cream cheese fat free,19,0.2,0.1,91,75,1.4,1,2.8,0,2.2,0.1,12.9,63,20,89,92,21,25,0.2,38,0,0,49,59,63.2,39,53,4,28,94.1,50,13,0.3,67679
7,gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,8.3,0,30.8,0.2,9.3,61,21,72,78,4,43,0.2,51,0,34,35,48,283.1,33,94,10.1,2,169.4,22.7,79,1.1,300694
8,cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,6.4,0,27.7,0.2,10.3,54,31,5,73,0.1,10,0.1,5,0,60,0.2,35,198.8,99,77,7.6,63,127.4,21.3,9,1,215.53
9,parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,46,6.4,0,12.2,0.2,5.4,67,62,99,59,57,39,60,66,0,95,18,21,213.1,51,0.1,7.9,73,124.9,16.6,45,0.5,224777
10,romano cheese,19,1.3,0.9,0.4,35,0.2,88,1.6,0,5.2,8,1.5,64,58,26,45,59,55,25,29,0,73,78,4,53.2,46,30,2.1,2,38,4.3,87,0.1,56.38
11,parmesan cheese grated,21,1.4,0.8,0.4,36,0.7,75,1.4,0,4.3,43,1.1,17,3,15,91,81,77,57,77,7,0,2,14,12,42.7,94,94,1.7,26,31.4,9,38,3745
12,port salut cheese,465,37.2,22,12.3,1,0.8,0.8,31.4,0,162.4,0.7,60,0.4,12,35,67,0.3,19,0.3,80,0,57,0.3,94,858,62,0.6,31.7,95,475.2,179.5,15,3.4,928.4
13,swiss cheese,98,7.7,4.6,2,0.3,0.4,0,6.7,0,23.3,57,9.4,69,8,27,8,18,58,0.1,36,0,16,0.2,56,222.5,26,24,8.3,62,143.5,18,31,1.1,237396
14,goat cheese hard,128,10.1,7,2.3,0.2,0.6,0.6,8.6,0,29.7,76,8.2,0.1,71,35,93,0.3,0.7,0.1,7,0,44,83,39,253.3,0.2,0.5,15.3,88,206.3,13.6,82,0.4,273.2
15,gouda cheese,100,7.7,4.9,2.2,0.2,0.6,0.6,7,0,31.9,0.2,11.6,53,16,42,10,9,81,11,53,0,40,26,74,196,13,60,8.1,80,152.9,33.9,50,1.1,211424
16,pepper jack cheese lucerne,75,6,4,0,0,0,0,5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5
17,caraway cheese,106,8.3,5.3,2.3,0.2,0.9,0,7.1,0,26.3,0.2,11.1,14,77,66,38,0.1,40,22,86,0,0,0,0,190.5,7,0.2,6.2,2,138.7,26.3,9,0.8,207072
18,gjetost cheese,1058,67,43.5,17.9,2.1,96.8,0,21.9,0,213.4,1.4,30.5,0.8,0.7,76,47,3.1,1.8,7.6,0.6,0,0,0,0,908,0.2,1.2,158.9,35,1007.90,3198.40,39,2.6,1095.7
19,tilsit cheese,136,10.4,6.7,2.9,0.3,0.8,0,9.8,0,40.8,0.3,17.1,57,36,72,58,0.1,68,0.1,36,0,0,0,0,280,33,10,5.2,86,200,26,26,1.4,301069
20,goat cheese,103,8.4,5.8,1.9,0.2,9,31,6.1,0,22.4,0.1,12.9,0.1,13,11,86,0.2,0.3,30,87,0,78,82,46,84.3,0.2,0.5,8.2,8,106.1,44.7,5,0.2,99494
21,brick cheese,111,8.9,5.6,2.6,0.2,0.8,0.2,7,0,28.2,0.2,12.3,16,42,59,74,0.1,85,86,33,0,42,72,64,202.2,93,0.1,7.2,85,135.3,40.8,56,0.8,219002
22,asadero cheese,402,31.9,20.3,9.1,1,3.2,3.2,25.5,0,118.7,0.7,47.6,98,34,5,43,0.3,0.2,0.3,24,0,71,0.3,20,746.9,67,0.6,29.4,24,500.6,97.2,96,3.4,808175
23,camembert cheese,90,7.3,4.6,2.1,0.2,0.1,0.1,5.9,0,21.6,0.3,15.5,91,54,43,34,0.1,0.2,0.4,17,0,93,14,24,116.4,46,63,6,75,104.1,56.1,35,0.7,129826
24,provolone cheese reduced fat,310,19.9,12.8,5.5,0.6,4,0.6,27.9,0,62.2,1,57.2,0.2,50,63,79,0.4,0.2,0.5,61,0,27,0.2,76,854.3,77,0.6,31.6,96,560.5,155.9,54,3.6,906.9
25,roquefort cheese,314,26,16.4,7.2,1.1,1.7,0,18.3,0,76.5,1.5,33.5,0.2,92,37,2,0.5,0.6,1.5,0.1,0,0,0,0,562.7,5,0.5,25.5,36,333.2,77.4,81,1.8,609.4
26,queso blanco cheese,366,28.7,16.1,7.6,1.4,3,2.1,24,0,82.6,0.8,57.5,0.2,97,0,22,0.3,38,0.5,0.1,0,50,0.6,61,814.2,98,0.2,34.2,67,551.1,148.7,16,3.6,870.3
27,queso seco cheese,315,23.6,13.3,6.2,1.2,2,0.5,23.8,0,75.7,1.8,40.9,0.2,38,0,10,0.2,27,0.4,49,0,32,0.5,45,641.2,91,0.2,26.2,83,460.8,112.5,48,3.2,691.0
28,goat cheese soft,75,6,4.1,1.4,0.1,0,0.3,5.2,0,13.0,0.1,17.2,49,57,37,12,0.1,0.1,0.2,36,0,92,10,93,39.6,0.2,0.5,4.5,26,72.4,7.4,14,0.3,51311
29,mozzarella cheese,90,6.6,4.2,2,0.2,0.7,0,6.7,0,23.7,0.1,15,37,88,88,81,71,13,89,16,0,44,1,8,151.5,57,0.1,6,19,106.2,22.8,47,0.9,165648
30,chihuahua cheese,494,39.2,24.9,11.1,1.2,7.3,7.3,28.5,0,138.6,0.8,51.7,7,53,31,82,0.3,0.2,0.4,61,0,89,0.3,11,859.3,30,0.6,30.4,47,583.4,68.6,71,4.6,934983
31,limburger cheese,98,8.2,5,2.6,0.1,0.1,0.1,6,0,27.0,0.2,14.5,0.1,21,95,82,0.2,9,0.4,2,0,4,55,46,149.1,36,11,6.3,54,117.9,38.4,29,0.6,163575
32,muenster cheese,486,39.7,25.2,11.5,0.9,1.5,1.5,30.9,0,126.7,0.8,55.1,0.4,16,9,85,0.4,0.1,0.3,72,0,65,0.3,56,946.4,8,0.5,35.6,93,617.8,176.9,59,3.7,1019.4
33,queso fresco cheese,365,29.1,15.8,7.3,1.3,3.6,2.8,22.1,0,84.2,0.9,62.7,0.3,19,29,76,0.2,50,0.4,60,0,55,0.5,87,690.5,25,0.2,29.3,53,469.7,157.4,73,3.1,745.8
34,brie cheese,100,8.3,5.2,2.4,0.2,0.1,0.1,6.2,0,30.0,0.2,14.5,14,40,25,73,0.2,0.1,0.2,1,0,68,78,56,55.2,15,0.2,6,47,56.4,45.6,40,0.7,70096
35,pimento cheese,525,43.7,27.5,12.5,1.4,2.4,0.9,31,0.1,131.6,2,54.7,0.3,23,43,16,0.5,0.1,0.7,11,3.2,99,0.4,86,859.6,32,0.6,30.8,31,1041.60,226.8,89,4.2,940.9
36,mexican cheese,316,21.7,13,5.6,0.8,3.8,0.6,27.7,0,69.4,0.9,54,0.2,91,27,50,0.3,17,0,40,0,87,0.2,73,1283.50,34,0.1,39.2,0,653,104.2,6,4.8,1337.0
37,feta cheese,80,6.4,4,1.4,0.2,1.2,0,4.3,0,26.7,0.3,16.6,14,63,21,76,0.3,0.3,0.3,0.1,0,60,36,57,147.9,12,0.2,5.7,63,101.1,18.6,5,0.9,160058
38,mozzarella cheese fat free,159,0,0,0,0,4,1.7,35.8,2,20.3,0.8,68,0.1,79,11,25,0.3,0.1,0,55,0,0,0.2,18,1085.90,77,0.4,37.3,0,741.3,119.8,35,4.4,1128.2
39,provolone cheese,463,35.1,22.5,9.8,1,2.8,0.7,33.8,0,91.1,1.2,54.1,0.3,13,17,5,0.4,0.2,0.6,52,0,28,0.3,1,997.9,11,0.7,37,33,654.7,182.2,17,4.3,1070.6
40,anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1,28.3,0,138.6,1.5,50.2,98,69,81,77,0.3,88,0.3,11,0,32,0.3,78,897.6,58,0.6,37,67,586.1,114.8,95,3.9,972205
41,honey,64,0,0,0,0,17.3,17.2,80,25,0.0,11,3.6,0,0,22,0,3,12,30,4,0.1,0,0,0,1.3,61,17,0.4,98,0.8,10.9,21,8,18892
42,apple butter,35,63,38,66,64,8.5,7.1,45,0.3,0.0,3,11.3,0,78,20,0,53,92,5,57,0.1,0,60,75,2.8,85,25,0.8,93,1.6,18.2,78,95,11836
